DOEID,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT
2043,9,7,8,1,0,406,0,0,0,406,406,0,0,0,0,0,0,0,406,0,406,0,0,0,0,0,0,0,406,0
2044,9,7,2,1,1,3680,0,1840,0,1840,0,3680,0,0,0,0,0,1840,0,1840,3680,1840,0,0,0,0,0,1840,1840,0
2045,9,3,7,1,0,1185,0,0,0,1185,1185,0,0,0,0,0,0,0,1185,0,1185,0,0,0,0,0,0,0,1185,0
2046,9,1,3,3,1,6008,3004,0,400,2604,5608,400,3004,0,0,400,0,0,2604,0,5608,400,3004,0,0,400,0,0,2604,0
2047,9,3,4,3,1,1890,945,0,0,945,1418,473,473,473,0,0,0,0,945,0,1890,0,945,0,0,0,0,0,945,0
2048,9,3,10,3,1,3036,1485,0,0,1551,1551,1485,0,1485,0,0,0,0,1551,0,3036,1485,0,1485,0,0,0,0,1551,0
2049,9,3,4,3,1,2500,1250,0,250,1000,833,1667,0,1250,0,250,0,0,833,167,806,2142,0,1250,0,250,0,0,358,642
2050,9,1,5,1,1,1055,0,0,0,1055,1055,0,0,0,0,0,0,0,1055,0,1055,0,0,0,0,0,0,0,1055,0
2051,9,1,5,4,1,2052,0,0,400,1652,1652,400,0,0,0,400,0,0,1652,0,1652,400,0,0,0,400,0,0,1652,0
2052,9,3,11,4,1,5928,1976,0,650,3302,5278,650,1976,0,0,650,0,0,3302,0,5278,650,1976,0,0,650,0,0,3302,0
2053,9,1,3,1,1,1682,510,0,0,1172,1682,0,510,0,0,0,0,0,1172,0,673,1682,0,510,0,0,0,0,0,1172
2054,9,1,3,1,1,2862,0,1431,0,1431,1431,1431,0,0,0,0,0,1431,1431,0,2862,1431,0,0,0,0,0,1431,1431,0
2055,9,1,4,1,1,1622,493,0,0,1129,1622,0,493,0,0,0,0,0,1129,0,463,1622,0,493,0,0,0,0,0,1129
2056,9,1,1,4,0,3852,1526,0,400,1926,3452,400,1526,0,0,400,0,0,1926,0,3452,400,1526,0,0,400,0,0,1926,0
2057,9,4,9,2,1,3153,0,0,400,2753,2753,400,0,0,0,400,0,0,2753,0,0,3153,0,0,0,400,0,0,0,2753
