DOEID,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY
3640,0,0,1,2,43,2,1,1,6,43,44,24,25,23,99,99,99,99,99,99,99,18,1,0,1,0,5
3641,1,0,1,1,40,2,1,0,2,40,99,99,99,99,99,99,99,99,99,99,99,42,1,0,0,0,6
3642,0,0,0,1,63,2,0,0,1,63,99,99,99,99,99,99,99,99,99,99,99,99,1,1,0,0,7
3643,0,0,0,1,80,1,0,0,1,80,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,5
3644,0,0,1,1,52,2,1,0,3,52,52,99,99,99,99,99,99,99,99,99,99,14,1,0,0,0,22
3645,0,0,0,1,39,2,1,0,3,39,41,99,99,99,99,99,99,99,99,99,99,20,1,0,0,0,15
3646,0,0,1,1,51,2,0,0,2,51,99,99,99,99,99,99,99,99,99,99,99,11,1,0,1,0,7
3647,0,0,0,2,21,2,0,1,3,21,27,99,99,99,99,99,99,99,99,99,99,21,1,0,0,0,7
3648,0,0,1,2,77,1,1,0,2,77,99,99,99,99,99,99,99,99,99,99,99,68,0,1,0,0,14
3649,0,0,1,2,21,2,0,0,1,21,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,7
3650,0,0,0,2,35,2,0,0,1,35,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,5
3651,1,0,1,1,33,0,1,0,2,33,99,99,99,99,99,99,99,99,99,99,99,33,1,0,0,0,24
3652,0,0,1,1,75,1,0,0,2,75,99,99,99,99,99,99,99,99,99,99,99,50,1,1,0,0,13
3653,0,0,1,2,83,1,1,0,2,83,99,99,99,99,99,99,99,99,99,99,99,65,0,1,0,0,5
3654,0,0,0,2,20,2,0,0,1,20,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,10
3655,0,0,1,2,39,2,1,0,2,39,99,99,99,99,99,99,99,99,99,99,99,34,1,0,0,0,23
3656,0,0,1,1,30,2,0,1,4,30,66,62,99,99,99,99,99,99,99,99,99,30,1,0,0,0,10
3657,0,0,1,1,33,2,1,0,2,33,99,99,99,99,99,99,99,99,99,99,99,32,0,0,0,0,20
3658,0,0,1,2,56,1,1,0,2,56,99,99,99,99,99,99,99,99,99,99,99,56,1,1,0,0,10
3659,0,0,1,1,34,2,1,0,2,34,99,99,99,99,99,99,99,99,99,99,99,24,0,0,0,0,15
3660,0,0,1,2,51,2,1,1,2,51,99,99,99,99,99,99,99,99,99,99,99,24,1,0,0,0,6
3661,0,0,0,2,53,2,1,0,3,53,44,99,99,99,99,99,99,99,99,99,99,14,1,0,0,0,21
3662,0,1,1,1,41,2,1,0,2,41,99,99,99,99,99,99,99,99,99,99,99,41,1,0,0,0,17
3663,0,0,0,2,43,2,1,1,4,43,43,36,99,99,99,99,99,99,99,99,99,17,1,0,0,0,10
3664,0,0,1,2,75,2,0,0,1,75,99,99,99,99,99,99,99,99,99,99,99,99,1,1,0,0,17
3665,0,0,1,1,76,1,0,0,2,76,99,99,99,99,99,99,99,99,99,99,99,19,0,1,0,0,11
3666,0,0,1,2,74,1,1,0,2,74,99,99,99,99,99,99,99,99,99,99,99,70,0,1,0,0,15
3667,0,0,0,1,34,2,1,0,5,34,38,14,12,99,99,99,99,99,99,99,99,6,1,0,0,0,16
3668,0,0,1,1,82,1,0,0,1,82,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,6
3669,0,0,1,2,61,1,1,0,2,61,99,99,99,99,99,99,99,99,99,99,99,56,1,1,0,0,22
3670,0,0,0,1,44,2,1,0,4,44,49,20,99,99,99,99,99,99,99,99,99,19,1,0,0,0,12
3671,0,0,0,1,88,1,0,0,1,88,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,6
3672,0,0,0,1,46,2,1,0,3,46,47,99,99,99,99,99,99,99,99,99,99,17,1,0,0,0,9
3673,0,0,1,2,63,1,1,0,3,63,70,99,99,99,99,99,99,99,99,99,99,61,1,1,0,0,13
3674,0,0,1,1,62,1,0,1,1,62,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,1
3675,0,0,0,1,53,1,0,0,1,53,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,8
3676,0,0,0,2,22,2,0,0,2,22,99,99,99,99,99,99,99,99,99,99,99,21,0,0,0,0,8
3677,0,0,1,1,62,1,1,0,2,62,99,99,99,99,99,99,99,99,99,99,99,61,1,1,0,0,9
3678,0,1,1,1,41,1,1,0,9,41,43,68,21,19,18,16,14,99,99,99,99,11,1,1,0,0,11
3679,0,0,0,1,51,1,0,0,1,51,99,99,99,99,99,99,99,99,99,99,99,99,0,1,1,1,3
3680,1,0,1,2,45,2,1,0,6,45,38,15,8,5,99,99,99,99,99,99,99,3,1,0,0,1,8
3681,0,0,1,1,70,1,1,0,2,70,99,99,99,99,99,99,99,99,99,99,99,70,0,1,0,0,8
3682,0,0,1,2,47,2,1,0,4,47,48,23,99,99,99,99,99,99,99,99,99,20,1,0,0,0,15
3683,0,0,0,2,51,2,0,0,1,51,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,15
3684,1,0,1,2,45,2,1,0,4,45,46,18,99,99,99,99,99,99,99,99,99,11,1,0,0,0,13
3685,0,0,1,1,40,0,1,0,2,40,99,99,99,99,99,99,99,99,99,99,99,40,1,0,0,0,24
