DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUEL,BTUNG,BTU,AGEHHMEM1,AGEHHMEMY
3303,0,2,6536,286,7802,2,9,4,1,4960,0,0,400,4560,4560,400,0,0,0,400,0,0,4560,0,0,4960,0,0,0,400,0,0,0,4560,1,0,1,2,60,0,1,0,2,1,1,0,0,21,58.5,26620,65807,92427,60,57
3304,0,5,4417,1454,14823,1,6,1,1,1087,0,0,0,1087,1087,0,0,0,0,0,0,0,1087,0,1087,0,0,0,0,0,0,0,1087,0,0,0,1,1,25,1,1,0,3,1,0,0,1,6,19.66666667,50576,48324.28466,98900.28466,25,3
3305,0,2,4558,1652,18407,1,9,2,1,8850,2950,0,650,5250,7723,1127,2950,0,0,650,0,0,4773,477,2819,4095,2950,0,0,650,0,0,1805,3445,0,0,0,2,53,2,0,0,1,1,0,0,0,24,53,62803,117821,180624,53,35
3306,0,2,44,3580,13142,2,6,3,0,3360,0,0,400,2960,0,3360,0,0,0,400,0,0,0,2960,0,3360,0,0,0,400,0,0,0,2960,1,0,1,1,59,0,1,0,2,1,1,0,0,24,59,44841,35140.70935,79981.70935,59,59
3307,0,2,2385,2147,22865,3,8,4,0,3379,0,1565,250,1565,1565,1815,0,0,0,250,0,1565,1565,0,3129,1815,0,0,0,250,0,1565,1565,0,1,0,0,1,37,2,1,0,4,1,0,0,0,17,23.25,78015,69509.53278,147524.5328,37,6
3308,0,2,7293,768,4286,3,5,1,1,1920,960,0,0,960,1920,0,960,0,0,0,0,0,960,0,0,1920,0,960,0,0,0,0,0,960,0,0,0,2,47,0,1,0,2,1,0,0,0,24,46.5,14624,109794,124418,47,46
3309,0,2,3783,1871,10679,7,1,2,1,2392,0,1196,0,1196,1196,1196,0,0,0,0,0,1196,1196,0,2392,1196,0,0,0,0,0,1196,1196,0,0,0,0,2,64,2,1,0,2,1,0,0,0,14,63,36436,88786,125222,64,62
3310,0,2,7127,437,22430,3,8,2,1,2950,975,0,400,1575,2306,644,731,244,0,400,0,0,1575,0,2550,1375,0,975,0,400,0,0,1575,0,1,0,1,1,51,2,1,0,4,1,0,0,0,23,34.5,76531,86745,163276,51,17
3311,0,5,4596,1567,5999,1,1,1,1,1108,0,0,0,1108,1108,0,0,0,0,0,0,0,1108,0,831,1108,0,0,0,0,0,0,0,1108,0,0,1,1,38,0,1,1,4,1,0,0,0,15,25,20469,6791,27260,38,4
3312,0,4,7450,738,8466,2,1,1,1,1768,884,0,0,884,663,1105,0,884,0,0,0,0,663,221,884,1768,0,884,0,0,0,0,0,884,0,0,0,1,21,2,1,0,2,1,0,0,0,10,21,28886,91140,120026,21,21
3313,0,2,3747,1593,10878,3,1,2,0,1620,0,0,0,1620,648,972,0,0,0,0,0,0,648,972,324,1620,0,0,0,0,0,0,0,1620,0,0,1,1,72,1,1,0,3,1,1,0,0,5,67,37117,66266.71679,103383.7168,72,46
3314,2,2,2615,1431,12530,4,8,2,1,1132,0,0,400,732,732,400,0,0,0,400,0,0,732,0,732,400,0,0,0,400,0,0,732,0,0,0,1,2,56,1,1,0,2,1,1,0,0,20,51,42752,119467,162219,56,46
3315,0,2,6908,606,11095,3,7,3,1,3354,1191,0,400,1763,2656,698,893,298,0,400,0,0,1763,0,2954,996,596,596,0,400,0,0,1763,0,0,0,0,1,37,2,1,0,5,1,0,0,0,24,17.8,37856,105164,143020,37,4
3316,0,2,4664,101,11727,2,5,1,1,1344,0,0,0,1344,1344,0,0,0,0,0,0,0,1344,0,0,1344,0,0,0,0,0,0,0,1344,0,0,1,1,28,2,1,0,4,1,0,0,0,10,30,40013,99869,139882,28,16
3317,0,2,4938,1548,9028,2,1,2,1,2046,0,1023,0,1023,1023,1023,0,0,0,0,0,1023,1023,0,948,1572,0,0,0,0,0,1023,474,549,0,0,1,2,27,2,0,0,1,1,0,0,0,9,27,30804,52170,82974,27,4
3318,0,2,3115,1311,6009,2,3,1,1,1088,0,0,0,1088,1088,0,0,0,0,0,0,0,1088,0,1088,0,0,0,0,0,0,0,1088,0,0,0,0,2,51,2,0,0,1,0,0,0,0,11,51,20503,44642,65145,51,49
3319,0,1,7119,630,13321,2,7,2,0,1639,0,0,0,1639,1639,0,0,0,0,0,0,0,1639,0,1639,0,0,0,0,0,0,0,1639,0,0,0,0,1,43,2,1,0,4,1,0,0,0,12,29,45451,94222.06257,139673.0626,43,15
3320,4,5,587,3014,7223,7,5,1,1,1107,0,0,0,1107,1107,0,0,0,0,0,0,0,1107,0,1107,0,0,0,0,0,0,0,1107,0,0,0,0,1,87,1,0,0,1,0,1,0,0,8,87,24645,3721.837022,28366.83702,87,48
3321,2,5,752,1184,1737,4,5,1,0,385,0,0,0,385,385,0,0,0,0,0,0,0,385,0,385,385,0,0,0,0,0,0,0,385,0,0,0,1,29,2,0,0,1,1,0,0,0,9,29,5927,2152.814491,8079.814491,29,47
3322,0,2,7305,866,7476,2,4,1,1,5000,2500,0,250,2250,4125,875,1875,625,0,250,0,0,2250,0,4750,875,1875,625,0,250,0,0,2250,0,0,0,0,2,29,2,1,0,2,1,0,0,0,23,29,25506,58455,83961,29,29
3323,3,2,2247,2805,26757,1,9,3,1,2711,0,0,650,2061,2061,650,0,0,0,650,0,0,2061,0,2061,650,0,0,0,650,0,0,2061,0,0,0,0,2,42,2,1,0,4,1,0,0,0,24,33.25,91294,31391,122685,42,24
3324,0,2,4482,1415,11540,3,10,4,0,5940,1980,0,400,3560,3560,2380,0,1980,0,400,0,0,3560,0,5540,2380,0,1980,0,400,0,0,3560,0,1,0,0,2,37,2,1,0,4,1,0,0,0,17,21.25,39374,82231.17816,121605.1782,37,5
3325,0,2,715,4211,13747,1,6,1,1,2594,0,0,400,2194,1920,674,0,0,0,400,0,0,1920,274,732,1862,0,0,0,400,0,0,732,1462,1,0,1,2,41,2,1,0,5,1,0,0,0,24,23.6,46905,69469.90478,116374.9048,41,10
3326,2,5,899,1164,4701,4,6,1,1,1237,0,0,0,1237,1237,0,0,0,0,0,0,0,1237,0,1237,0,0,0,0,0,0,0,1237,0,0,0,0,1,28,1,1,1,8,0,0,1,1,6,12.125,16040,38431,54471,28,1
3327,0,2,4925,900,13680,9,2,4,1,2832,0,0,0,2832,2360,472,0,0,0,0,0,0,2360,472,0,2832,0,0,0,0,0,0,0,2832,0,0,0,2,79,1,0,1,2,0,1,0,0,5,59.5,46676,68349.4152,115025.4152,79,40
3328,0,2,3016,2218,18246,1,9,4,1,2428,0,406,400,1622,1622,806,0,0,0,400,0,406,1622,0,2028,806,0,0,0,400,0,406,1622,0,0,0,1,2,58,2,1,0,3,1,0,0,0,11,49.33333333,62255,0,62255,58,32
3329,1,5,4905,1242,1580,1,2,1,1,844,0,0,0,844,844,0,0,0,0,0,0,0,844,0,281,844,0,0,0,0,0,0,0,844,0,0,1,1,78,1,0,0,1,0,1,0,1,4,78,5393,64296,69689,78,34
3330,0,2,2663,1972,5342,1,3,1,1,3888,1296,0,0,2592,3046,842,972,324,0,0,0,0,2074,518,1555,3888,0,1296,0,0,0,0,0,2592,0,0,0,2,86,1,0,0,1,0,1,0,0,7,86,18227,62713,80940,86,41
3331,1,3,6427,964,5063,3,6,1,1,1270,400,0,0,870,870,400,0,400,0,0,0,0,870,0,0,1270,0,400,0,0,0,0,0,870,0,0,0,1,40,0,0,0,2,1,0,0,1,3,27,17275,60711,77986,40,14
3332,0,2,7095,139,11059,3,6,4,0,678,0,0,0,678,678,0,0,0,0,0,0,0,678,0,0,678,0,0,0,0,0,0,0,678,0,0,0,1,45,2,1,0,2,1,0,0,0,10,45.5,37733,71765.19527,109498.1953,45,46
3333,0,1,6107,694,13024,3,7,3,0,1232,0,0,0,1232,1232,0,0,0,0,0,0,0,1232,0,1232,0,0,0,0,0,0,0,1232,0,0,0,1,1,62,1,1,0,2,0,1,1,0,6,62,44438,73169.7094,117607.7094,62,62
3334,2,2,1246,523,11100,4,9,3,1,3123,0,608,650,1865,1166,1957,0,0,0,650,0,608,1166,700,744,2562,0,0,0,650,0,608,561,1304,0,0,0,1,49,2,0,0,2,1,0,0,0,24,31.5,37873,99401,137274,49,14
3335,1,3,6591,902,11901,1,6,1,1,905,0,0,0,905,679,226,0,0,0,0,0,0,679,226,0,905,0,0,0,0,0,0,0,905,0,0,1,1,73,1,0,0,1,0,1,0,1,4,73,40606,77770.24831,118376.2483,73,45
3336,0,2,6244,958,20381,3,5,4,0,2514,0,0,400,2114,2114,400,0,0,0,400,0,0,2114,0,2114,400,0,0,0,400,0,0,2114,0,0,0,0,2,53,2,1,0,4,1,0,0,0,17,32.25,69540,90088.57006,159628.5701,53,15
3337,0,2,7317,526,9235,2,6,1,1,2900,1450,0,0,1450,1450,1450,0,1450,0,0,0,0,1450,0,0,2900,0,1450,0,0,0,0,0,1450,0,0,1,2,49,2,1,0,2,1,0,0,0,13,47.5,31508,105345,136853,49,46
3338,0,5,0,4574,5535,4,6,3,0,1560,0,0,0,1560,0,1560,0,0,0,0,0,0,0,1560,0,1560,0,0,0,0,0,0,0,1560,0,0,1,2,55,2,1,0,3,1,0,1,1,12,46.33333333,18885,12206.79575,31091.79575,55,30
3339,4,2,521,3486,31275,6,12,3,1,6840,0,2280,650,3910,3910,2930,0,0,0,650,0,2280,3910,0,6190,2930,0,0,0,650,0,2280,3910,0,0,0,1,2,39,2,1,0,5,1,0,0,0,24,26.4,106711,51316,158027,39,14
3340,0,2,3770,1571,5184,1,4,4,0,1176,0,0,0,1176,1176,0,0,0,0,0,0,0,1176,0,235,1176,0,0,0,0,0,0,0,1176,0,0,1,1,77,0,1,0,3,1,1,0,0,10,67.66666667,17687,66562.33797,84249.33797,77,44
3341,4,5,519,3512,5567,4,5,1,1,1116,0,0,0,1116,1116,0,0,0,0,0,0,0,1116,0,1116,0,0,0,0,0,0,0,1116,0,0,0,0,1,28,2,0,0,3,1,0,0,0,5,12.66666667,18995,12965,31960,28,3
3342,0,4,3241,1944,11789,2,8,1,1,717,0,0,0,717,179,538,0,0,0,0,0,0,179,538,179,717,0,0,0,0,0,0,0,717,0,0,0,2,19,2,1,0,2,1,0,0,0,6,18.5,40224,18966.20241,59190.20241,19,18
3343,0,4,5379,1403,11951,2,1,1,1,2032,0,0,0,2032,2032,0,0,0,0,0,0,0,2032,0,406,2032,0,0,0,0,0,0,0,2032,0,0,1,1,32,1,1,0,5,0,0,1,1,3,20.2,40777,147250,188027,32,8
3344,0,2,1493,3271,14017,4,11,3,1,3494,0,0,650,2844,2844,650,0,0,0,650,0,0,2844,0,2844,650,0,0,0,650,0,0,2844,0,0,0,1,2,64,1,1,0,2,0,1,0,0,9,64,47828,51862,99690,64,64
3345,0,2,7181,150,6465,3,10,2,1,1312,0,0,0,1312,1312,0,0,0,0,0,0,0,1312,0,0,1312,0,0,0,0,0,0,0,1312,0,0,0,1,44,2,1,0,4,1,0,1,0,9,30.25,22059,89832,111891,44,16
3346,2,5,2585,16,1376,1,3,1,1,236,0,0,0,236,0,236,0,0,0,0,0,0,0,236,0,236,0,0,0,0,0,0,0,236,0,0,1,1,51,1,0,0,1,0,0,1,0,2,51,4695,15105,19800,51,6
3347,1,2,5548,1049,4652,5,4,3,0,2309,1125,0,0,1184,1184,1125,0,1125,0,0,0,0,1184,0,385,2309,0,1125,0,0,0,0,0,1184,0,0,0,1,62,2,0,0,1,1,1,0,0,9,62,15873,71988.09787,87861.09787,62,38
3348,0,4,4692,1501,2068,3,5,2,1,1320,0,0,0,1320,1320,0,0,0,0,0,0,0,1320,0,220,1320,0,0,0,0,0,0,0,1320,0,0,1,2,67,1,1,0,3,1,1,0,0,18,51,7056,45585,52641,67,27
3349,2,2,963,1319,8235,4,7,1,1,3000,0,0,400,2600,2600,400,0,0,0,400,0,0,2600,0,2600,400,0,0,0,400,0,0,2600,0,0,0,1,1,36,1,1,0,4,1,0,0,0,16,19,28098,58756,86854,36,1
3350,0,2,4479,710,8779,2,9,4,1,1939,513,0,400,1026,1026,913,0,513,0,400,0,0,1026,0,1539,913,0,513,0,400,0,0,1026,0,0,0,0,1,52,2,1,0,3,1,0,0,0,24,42,29954,80879,110833,52,19
3351,0,4,5518,985,5189,1,5,1,1,1008,0,0,0,1008,1008,0,0,0,0,0,0,0,1008,0,504,1008,0,0,0,0,0,0,0,1008,0,0,0,1,33,2,1,0,5,1,0,0,0,7,18.4,17704,87510,105214,33,1
3352,2,2,654,4273,2255,4,5,2,1,1517,0,0,400,1117,1117,400,0,0,0,400,0,0,1117,0,0,1517,0,0,0,400,0,0,0,1117,0,0,0,2,30,2,0,0,1,1,0,0,0,17,30,7694,31391,39085,30,24
3353,0,2,2173,2149,15185,5,1,4,0,1440,0,0,0,1440,1440,0,0,0,0,0,0,0,1440,0,720,1440,0,0,0,0,0,0,0,1440,0,0,1,1,77,1,0,0,1,0,1,0,0,5,77,51811,44884.62489,96695.62489,77,15
3354,0,2,5991,1156,8544,3,1,1,1,2835,945,945,0,945,1890,945,945,0,0,0,0,945,945,0,0,2835,0,945,0,0,0,945,0,945,0,0,1,1,85,1,0,0,1,0,1,0,0,5,85,29152,10805,39957,85,3
3355,0,1,1202,3584,5408,2,5,4,1,902,0,0,0,902,902,0,0,0,0,0,0,0,902,0,902,0,0,0,0,0,0,0,902,0,0,0,1,1,70,1,0,0,2,0,1,1,1,5,55.5,18451,26756,45207,70,41
